sub,run,regressor,VIF
5,9,Face Perception,2.0684468342671853
5,9,Scene Perception,2.0568741396378813
5,9,Face WM,1.9518221561003666
5,9,Scene WM,1.9036740562542969
5,10,Face Perception,2.0754589873740446
5,10,Scene Perception,2.182131186501437
5,10,Face WM,1.801926241698253
5,10,Scene WM,1.7296749877313953
5,11,Face Perception,1.9357613795977209
5,11,Scene Perception,2.1129221606939037
5,11,Face WM,1.7490336872570158
5,11,Scene WM,1.8515005162016227
5,12,Face Perception,2.2636083735237795
5,12,Scene Perception,2.133476774474881
5,12,Face WM,1.7687109603810263
5,12,Scene WM,1.8848537261257425
5,13,Face Perception,2.0192554316061546
5,13,Scene Perception,2.3211028239586975
5,13,Face WM,1.831302235868209
5,13,Scene WM,1.8074941608632473
5,14,Face Perception,1.9889272912651448
5,14,Scene Perception,2.2122646995761004
5,14,Face WM,1.792575759984649
5,14,Scene WM,1.944111803318488
5,15,Face Perception,2.2420663715323084
5,15,Scene Perception,2.1053743122481605
5,15,Face WM,1.953847544728941
5,15,Scene WM,1.8248556740464106
5,16,Face Perception,2.3503586592494012
5,16,Scene Perception,2.087330124517308
5,16,Face WM,1.823597203433494
5,16,Scene WM,1.696295352884648
5,17,Face Perception,1.9654670830809013
5,17,Scene Perception,2.0908197631840073
5,17,Face WM,1.7221745977575864
5,17,Scene WM,1.8523936313736868
5,18,Face Perception,2.1173993418576598
5,18,Scene Perception,2.1051142501059377
5,18,Face WM,1.7696974782618355
5,18,Scene WM,2.0114337428519993
5,19,Face Perception,2.225050289567416
5,19,Scene Perception,2.304718577022805
5,19,Face WM,1.9081836636258318
5,19,Scene WM,1.8098926009177148
5,20,Face Perception,2.128675002109352
5,20,Scene Perception,2.144026200396497
5,20,Face WM,1.813840469437994
5,20,Scene WM,1.7155035523757487
5,21,Face Perception,2.277664365648629
5,21,Scene Perception,2.1638478735578253
5,21,Face WM,1.9465491018166567
5,21,Scene WM,1.6789239694398135
5,22,Face Perception,2.0700262868773365
5,22,Scene Perception,2.8866530269141277
5,22,Face WM,1.6935912418199062
5,22,Scene WM,1.9665504266520024
5,23,Face Perception,2.017648761851918
5,23,Scene Perception,2.3702853724076114
5,23,Face WM,1.8303117820056944
5,23,Scene WM,1.783379291902156
5,24,Face Perception,2.369603239300872
5,24,Scene Perception,2.165151664006229
5,24,Face WM,1.99778968484871
5,24,Scene WM,1.6579406568224317
5,25,Face Perception,2.14017362981884
5,25,Scene Perception,2.1067784535919936
5,25,Face WM,1.7907381353188299
5,25,Scene WM,1.8335454247020762
5,26,Face Perception,1.9208330574449075
5,26,Scene Perception,1.984618146036519
5,26,Face WM,1.730351838643621
5,26,Scene WM,1.730537407362834
5,27,Face Perception,2.2360553289993836
5,27,Scene Perception,2.129448004106135
5,27,Face WM,2.0688691750575905
5,27,Scene WM,1.6743665099478298
5,28,Face Perception,2.365920286814747
5,28,Scene Perception,2.193647321932502
5,28,Face WM,2.126774949088195
5,28,Scene WM,1.6646717323729756
5,29,Face Perception,2.086472379628116
5,29,Scene Perception,2.2555226978420393
5,29,Face WM,1.8070151791846139
5,29,Scene WM,1.898886660646508
5,30,Face Perception,2.060094337104913
5,30,Scene Perception,2.219174556712219
5,30,Face WM,1.7591400647979578
5,30,Scene WM,1.946974768686889
5,31,Face Perception,2.1700222268207754
5,31,Scene Perception,2.1008492360420985
5,31,Face WM,1.8276210163479607
5,31,Scene WM,1.893477229756522
5,32,Face Perception,1.9185233308152034
5,32,Scene Perception,2.00721279527442
5,32,Face WM,1.733717559417092
5,32,Scene WM,1.7997390829827835
6,1,Face Perception,2.2828176303218592
6,1,Scene Perception,2.166322229414209
6,1,Face WM,1.9290126187539316
6,1,Scene WM,1.7202845672898808
6,2,Face Perception,1.9467401537932352
6,2,Scene Perception,2.024786591015531
6,2,Face WM,1.7292228765542965
6,2,Scene WM,1.7629623325712118
6,3,Face Perception,1.950037641371415
6,3,Scene Perception,2.122253581362598
6,3,Face WM,2.121012913977191
6,3,Scene WM,1.795980688705671
6,4,Face Perception,2.021048673059993
6,4,Scene Perception,1.9593687309118757
6,4,Face WM,1.822275376819985
6,4,Scene WM,1.656939738305036
6,5,Face Perception,2.338881596748909
6,5,Scene Perception,2.2608867642293675
6,5,Face WM,1.8653343571675733
6,5,Scene WM,1.996465770427357
6,6,Face Perception,1.8810336103459306
6,6,Scene Perception,2.396270946952686
6,6,Face WM,1.6236414001994397
6,6,Scene WM,1.9965738356020453
6,7,Face Perception,2.237700408009319
6,7,Scene Perception,2.4507257518539514
6,7,Face WM,1.8524897756285272
6,7,Scene WM,2.011375691230514
6,8,Face Perception,2.0127308416062966
6,8,Scene Perception,2.3474586739401797
6,8,Face WM,1.7093402427791318
6,8,Scene WM,1.9658092212810618
6,9,Face Perception,2.4120447866626162
6,9,Scene Perception,2.4139372797209266
6,9,Face WM,1.998085268368735
6,9,Scene WM,2.0556531739349033
6,10,Face Perception,2.001743991356766
6,10,Scene Perception,2.1876194898033514
6,10,Face WM,1.8050304815137583
6,10,Scene WM,1.9109112435705604
6,11,Face Perception,2.0843195019370175
6,11,Scene Perception,2.3446645392417196
6,11,Face WM,2.0004925875729866
6,11,Scene WM,1.85871871812139
6,12,Face Perception,2.174730830544164
6,12,Scene Perception,2.2009993781080994
6,12,Face WM,1.8276867901680143
6,12,Scene WM,1.9156370002186278
6,13,Face Perception,2.1400985841834563
6,13,Scene Perception,2.2937277026741043
6,13,Face WM,1.8578776503224153
6,13,Scene WM,2.0440673990618254
6,14,Face Perception,2.0395047979109746
6,14,Scene Perception,2.1675065598200476
6,14,Face WM,1.6608552749807985
6,14,Scene WM,1.9081857497336234
